#SampleID	Species	Year	Type	Plate	Well
ATPU21_8	ATPU	2021	SAMPLE	3	
ATPU21_9	ATPU	2021	SAMPLE	3	
ATPU21_10	ATPU	2021	SAMPLE	3	
ATPU21_11	ATPU	2021	SAMPLE	3	
ATPU21_12	ATPU	2021	SAMPLE	3	
ATPU21_13	ATPU	2021	SAMPLE	3	
ATPU21_14	ATPU	2021	SAMPLE	3	
ATPU21_15	ATPU	2021	SAMPLE	3	
ATPU21_16	ATPU	2021	SAMPLE	3	
BLANK_ATPU3-6	EXT_BLANK	NA	EXT_BLANK	3	
ATPU21_17	ATPU	2021	SAMPLE	3	
ATPU21_18	ATPU	2021	SAMPLE	3	
ATPU21_19	ATPU	2021	SAMPLE	3	
ATPU21_20	ATPU	2021	SAMPLE	3	
ATPU21_21	ATPU	2021	SAMPLE	3	
ATPU21_22	ATPU	2021	SAMPLE	3	
ATPU21_23	ATPU	2021	SAMPLE	3	
ATPU21_24	ATPU	2021	SAMPLE	3	
ATPU21_25	ATPU	2021	SAMPLE	3	
RBTR_SIN_AD_2020_041	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_050	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_052	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_057	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_058	RBTR	2020	SAMPLE	3	
BLANK_ATPU3-7	EXT_BLANK	NA	EXT_BLANK	3	
RBTR_SIN_AD_2020_059	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_060	RBTR	2020	SAMPLE	3	
RBTR_SIN_AD_2020_063	RBTR	2020	SAMPLE	3	
PCR_BLANK_ATPU3-2	PCR_BLANK	NA	PCR_BLANK	3	
